# Wavelength (A)     Intensity in channel 1     Intensity in channel 2     Intensity in channel 3
1802.923775     128.718000     88.487200     83.692300
1808.442775     131.718000     86.717900     83.769200
1813.961775     137.410000     90.333300     88.974400
1819.480775     136.718000     90.025600     87.897400
1824.999775     134.538000     87.666700     82.794900
1830.518775     132.385000     85.820500     79.256400
1836.037775     133.154000     86.487200     80.897400
1841.556775     130.333000     84.307700     83.128200
1847.075775     128.282000     83.589700     86.743600
1852.594775     126.769000     87.564100     90.256400
1858.113775     125.026000     87.871800     89.846200
1863.632775     122.513000     88.333300     89.743600
1869.151775     122.923000     87.615400     91.282100
1874.670775     126.128000     88.025600     92.820500
1880.189775     127.718000     87.641000     90.948700
1885.708775     122.923000     86.589700     88.205100
1891.227775     118.026000     86.923100     88.487200
1896.746775     115.795000     88.076900     91.615400
1902.265775     120.615000     89.871800     97.410300
1907.784775     121.154000     86.461500     95.923100
1913.303775     122.410000     85.769200     91.538500
1918.822775     130.077000     90.384600     91.512800
1924.341775     135.359000     93.102600     90.820500
1929.860775     131.308000     90.923100     88.205100
1935.379775     127.795000     90.512800     90.384600
1940.898775     125.744000     89.128200     91.974400
1946.417775     126.282000     87.230800     89.435900
1951.936775     125.231000     88.359000     88.102600
1957.455775     124.103000     90.384600     86.076900
1962.974775     122.128000     90.641000     85.948700
1968.493775     120.897000     89.384600     86.564100
1974.012775     123.410000     90.871800     89.974400
1979.531775     124.795000     90.051300     90.743600
1985.050775     125.641000     89.025600     92.717900
1990.569775     129.590000     89.974400     95.256400
1996.088775     134.667000     91.769200     96.256400
2001.607775     133.436000     91.820500     93.153800
2007.126775     127.487000     90.282100     89.794900
2012.645775     125.641000     91.153800     90.102600
2018.164775     126.308000     92.256400     89.461500
2023.683775     125.026000     91.076900     87.923100
2029.202775     125.026000     90.410300     87.743600
2034.721775     126.256000     89.282100     87.461500
